ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
3812,7-12 months,DWC,Recurrent,146,119.25,342.02,37035,0.6643,HDM,YES,HDZ,NO
3813,3 - 6 months,DWOC,Recurrent,219,129.03,314.42,50671,0.7805,HDM,YES,HDZ,NO
3814,7-12 months,DWC,Recurrent,126,147.65,504.46,47437,0.508,LDM,YES,HDZ,NO
3815,3 - 6 months,DWC,Recurrent,164,98.98,262.21,31512,0.7833,HDM,YES,HDZ,NO
3816,7-12 months,DWC,Recurrent,227,138.98,278.93,46422,0.8096,HDM,YES,HDZ,NO
3817,7-12 months,DWC,Reactivated,11,5.82,191.98,1563,0.7077,HDM,NO,HDZ,YES
3818,1 -2 months,DWC,Recurrent,71,70.63,163.51,11112,0.3053,HDM,NO,LDZ,NO
3819,7-12 months,DWC,Reactivated,3,16.25,155.59,335,0.7067,LDM,NO,HDZ,YES
3820,1 -2 months,DWC,New,42,37.56,187.12,6314,0.5536,HDM,NO,HDZ,YES
3821,1 -2 months,DWC,New,1,4.62,120,115,0.113,HDM,NO,HDZ,YES
3822,1 -2 months,DWC,New,2,5.25,89.06,170,0.1174,HDM,NO,LDZ,YES
3823,1 -2 months,DWC,New,2,6.83,243.17,349,0.1783,LDM,NO,HDZ,YES
3824,7-12 months,DWC,Recurrent,87,72.58,305.78,20129,0.7033,HDM,YES,HDZ,NO
3825,1 -2 months,DWOC,Recurrent,99,61.12,271.92,19849,0.7207,LDM,YES,HDZ,NO
3826,1 -2 months,DWC,Recurrent,5,13.27,229.25,1105,0.2198,HDM,NO,LDZ,YES
3827,1 -2 months,DWC,New,6,6.23,174.62,1006,0.3744,HDM,NO,LDZ,YES
3828,3 - 6 months,DWC,Recurrent,136,69.85,219.52,21602,0.776,HDM,NO,HDZ,NO
3829,1 -2 months,DWOC,Recurrent,145,127.06,171.84,23730,0.5101,HDM,NO,HDZ,NO
3830,3 - 6 months,DWOC,Recurrent,31,22.99,196.06,4597,0.4636,LDM,YES,HDZ,NO
3831,More than 12 months,DWC,Recurrent,129,68.58,275.17,26456,0.8015,HDM,YES,HDZ,NO
3832,3 - 6 months,DWC,Recurrent,344,191.62,266.3,67491,0.7641,HDM,NO,HDZ,NO
3833,7-12 months,DWC,Recurrent,77,51.35,287.15,17954,0.6754,HDM,NO,HDZ,NO
3834,3 - 6 months,DWC,Recurrent,6,4.05,113.16,650,0.6788,HDM,NO,LDZ,YES
3835,1 -2 months,DWOC,New,19,8.61,249.31,3400,0.7902,HDM,YES,HDZ,NO
3836,1 -2 months,DWC,New,150,186.64,257.09,33683,0.4293,HDM,NO,HDZ,NO
3837,1 -2 months,DWC,Recurrent,4,3,166.91,639,0.4392,HDM,NO,HDZ,YES
3838,3 - 6 months,DWC,Recurrent,307,206.3,233.45,52155,0.6938,HDM,NO,HDZ,NO
3839,7-12 months,DWOC,Recurrent,264,182.76,253,52446,0.7256,HDM,YES,HDZ,NO
3840,3 - 6 months,DWC,Reactivated,5,9.36,75.38,361,0.1725,HDM,NO,LDZ,YES
3841,1 -2 months,DWOC,New,8,5.42,250.64,1571,0.7486,HDM,YES,HDZ,YES
3842,7-12 months,DWC,Recurrent,120,97.58,335.5,32805,0.801,HDM,YES,HDZ,NO
3843,3 - 6 months,DWC,Recurrent,244,138.54,237.75,42900,0.693,HDM,NO,HDZ,NO
3844,7-12 months,DWC,Recurrent,109,50.72,186.8,15380,0.7819,HDM,YES,HDZ,NO
3845,3 - 6 months,DWC,Recurrent,95,54.58,258.22,18088,0.7301,HDM,NO,HDZ,NO
3846,3 - 6 months,DWOC,Recurrent,137,81.88,281.31,28920,0.7826,HDM,YES,HDZ,NO
3847,1 -2 months,DWC,New,16,17.2,207.04,2402,0.4401,HDM,NO,HDZ,YES
3848,7-12 months,DWC,Reactivated,2,1.43,247.5,449,0.9184,HDM,NO,HDZ,YES
3849,1 -2 months,DWC,New,6,8.55,246.44,1344,0.412,HDM,NO,HDZ,YES
3850,More than 12 months,DWC,Recurrent,97,69.72,272.48,21566,0.7276,HDM,NO,HDZ,NO
3851,More than 12 months,DWC,Recurrent,111,103.62,482.89,40545,0.5301,HDM,YES,HDZ,NO
3852,7-12 months,DWC,Recurrent,6,8.38,308.14,1664,0.4339,HDM,NO,LDZ,NO
3853,1 -2 months,DWC,New,4,2.42,271.41,779,0.5801,HDM,NO,HDZ,YES
3854,3 - 6 months,DWC,Recurrent,1,1.13,104.5,75,0.2236,LDM,NO,HDZ,YES
3855,More than 12 months,DWC,Recurrent,216,196.59,415.88,69449,0.6028,LDM,YES,HDZ,NO
3856,1 -2 months,DWOC,Recurrent,357,257.19,282.66,75383,0.7274,HDM,YES,HDZ,NO
3857,3 - 6 months,DWC,Reactivated,10,7.56,141.41,1353,0.4402,LDM,NO,LDZ,NO
3858,1 -2 months,DWC,Recurrent,70,98.93,185.9,11943,0.2547,HDM,NO,HDZ,NO
3859,7-12 months,DWC,Recurrent,123,92.98,317.72,30765,0.8029,HDM,YES,HDZ,NO
3860,3 - 6 months,DWC,Recurrent,16,6.49,166.17,2634,0.8179,LDM,NO,LDZ,NO
3861,1 -2 months,DWC,New,7,8.48,82.41,472,0.2312,HDM,NO,HDZ,YES
3862,3 - 6 months,DWC,Recurrent,36,15.67,225.48,5918,0.7704,HDM,NO,HDZ,NO
3863,1 -2 months,DWC,New,1,6.87,104.5,75,0.0723,HDM,NO,HDZ,YES
3864,1 -2 months,DWC,New,8,5.34,142.23,1026,0.5099,HDM,NO,HDZ,NO
3865,More than 12 months,DWC,Recurrent,234,148.17,277.29,49959,0.7289,HDM,YES,HDZ,NO
3866,1 -2 months,DWOC,Recurrent,306,228.88,297.03,68564,0.7067,HDM,YES,HDZ,NO
3867,7-12 months,DWOC,Reactivated,111,76.69,247.92,20697,0.7362,HDM,YES,HDZ,NO
3868,1 -2 months,DWC,New,4,6.67,116.32,445,0.2581,HDM,NO,LDZ,NO
3869,3 - 6 months,DWC,Recurrent,24,17.34,210.9,4319,0.5722,HDM,NO,HDZ,NO
3870,More than 12 months,DWC,Recurrent,244,169.45,273.25,50385,0.8021,HDM,YES,HDZ,NO
3871,More than 12 months,DWC,Recurrent,280,185.8,308.21,64092,0.816,HDM,YES,HDZ,NO
3872,1 -2 months,DWOC,Recurrent,151,98.59,254.81,28424,0.723,HDM,NO,HDZ,YES
3873,More than 12 months,DWC,Recurrent,1,0.96,162.86,156,0.5251,HDM,NO,HDZ,NO
3874,1 -2 months,DWC,New,4,3.68,149.53,436,0.397,HDM,NO,HDZ,YES
3875,3 - 6 months,DWOC,Recurrent,327,181.09,255.89,64754,0.7068,LDM,YES,HDZ,NO
3876,3 - 6 months,DWC,Reactivated,1,0.37,114.95,83,0.5195,HDM,NO,HDZ,YES
3877,1 -2 months,DWC,Recurrent,197,151.36,173.97,32967,0.6637,HDM,NO,LDZ,NO
3878,1 -2 months,DWC,New,8,5.76,172.65,1008,0.4759,HDM,NO,HDZ,YES
3879,3 - 6 months,DWOC,Recurrent,404,245.44,318.37,101318,0.7825,HDM,YES,HDZ,NO
3880,3 - 6 months,DWC,Reactivated,19,22.58,358.95,5800,0.5031,HDM,NO,HDZ,NO
3881,7-12 months,DWC,Recurrent,11,7.23,168.66,1354,0.5213,HDM,NO,HDZ,YES
3882,More than 12 months,DWC,Recurrent,277,451.58,783.36,165159,0.4769,HDM,YES,HDZ,NO
3883,3 - 6 months,DWC,Recurrent,10,6.17,262.97,1914,0.8555,LDM,NO,HDZ,YES
3884,More than 12 months,DWC,Recurrent,214,156.68,350.08,56185,0.783,HDM,YES,HDZ,NO
3885,More than 12 months,DWC,Reactivated,2,2.44,521.66,1006,0.6587,LDM,NO,LDZ,YES
3886,1 -2 months,DWC,New,16,10.22,280.14,3217,0.7066,HDM,NO,HDZ,NO
3887,More than 12 months,DWC,Recurrent,16,12.36,209.71,2577,0.6156,HDM,NO,HDZ,YES
3888,1 -2 months,DWOC,New,361,247.69,272.94,73135,0.696,HDM,YES,HDZ,NO
3889,More than 12 months,DWC,Recurrent,194,107.73,247.9,35341,0.7561,HDM,NO,HDZ,NO
3890,1 -2 months,DWC,New,27,29.26,193.47,4885,0.5119,HDM,NO,LDZ,YES
3891,More than 12 months,DWC,Recurrent,114,75.22,315.32,26630,0.7879,HDM,YES,HDZ,NO
3892,More than 12 months,DWC,Recurrent,149,107.49,301.1,33314,0.8024,HDM,YES,HDZ,NO
3893,1 -2 months,DWC,New,1,3.9,171.5,164,0.1271,HDM,NO,LDZ,YES
3894,3 - 6 months,DWC,Reactivated,139,78.83,249.65,25698,0.6998,HDM,NO,HDZ,NO
