ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
1,7-12 months,DWC,Recurrent,97,52.74,269.01,20293,0.7204,HDM,NO,HDZ,NO
2,7-12 months,DWC,Recurrent,340,241.22,312.96,79198,0.7266,HDM,YES,HDZ,NO
3,More than 12 months,DWC,Recurrent,22,10.35,266.36,4442,0.8301,LDM,NO,HDZ,NO
4,3 - 6 months,DWC,Reactivated,9,4.61,194.71,1372,0.6057,HDM,NO,HDZ,NO
5,3 - 6 months,DWC,Recurrent,28,45.59,155.44,3732,0.2268,HDM,NO,LDZ,YES
6,3 - 6 months,DWC,Reactivated,1,1.35,988.47,739,0.6537,HDM,NO,HDZ,YES
7,More than 12 months,DWC,Recurrent,105,54.94,236.78,18210,0.8021,HDM,NO,HDZ,NO
8,3 - 6 months,DWC,Reactivated,82,52.94,208.74,13658,0.5297,LDM,NO,HDZ,NO
9,3 - 6 months,DWC,Recurrent,16,21.09,223.68,3256,0.3598,HDM,NO,LDZ,NO
10,3 - 6 months,DWOC,Reactivated,41,31.49,229.17,7064,0.6725,HDM,NO,HDZ,YES
11,More than 12 months,DWC,Recurrent,187,90.23,271.65,38370,0.7468,HDM,NO,HDZ,NO
12,3 - 6 months,DWC,Recurrent,6,31.02,546.75,2594,0.1865,HDM,NO,HDZ,NO
13,3 - 6 months,DWOC,Recurrent,303,167.72,292.18,66363,0.8255,HDM,YES,HDZ,NO
14,More than 12 months,DWC,Recurrent,231,122.38,262.65,44561,0.7531,HDM,NO,HDZ,NO
15,3 - 6 months,DWC,Recurrent,62,41.31,241.41,13022,0.737,HDM,NO,HDZ,NO
16,7-12 months,DWOC,Recurrent,353,234.48,322.06,86013,0.7101,HDM,YES,HDZ,NO
17,3 - 6 months,DWC,Recurrent,115,58.56,238.01,20137,0.7224,HDM,NO,HDZ,NO
18,1 -2 months,DWC,Recurrent,355,284.58,321.9,86860,0.7213,HDM,YES,HDZ,NO
19,3 - 6 months,DWC,Recurrent,87,39,219.94,14089,0.7415,HDM,NO,HDZ,NO
20,7-12 months,DWC,Recurrent,96,54.54,244.74,19686,0.7293,HDM,NO,HDZ,NO
21,3 - 6 months,DWOC,Recurrent,367,247.43,296.52,82753,0.7963,HDM,YES,HDZ,NO
22,More than 12 months,DWC,Recurrent,113,142.34,963.23,84422,0.5976,HDM,YES,LDZ,NO
23,1 -2 months,DWC,New,1,2.14,263.49,193,0.2054,LDM,NO,HDZ,YES
24,1 -2 months,DWC,New,1,1.49,136,130,0.3671,HDM,NO,HDZ,YES
25,1 -2 months,DWC,New,75,58.15,179.83,12767,0.5457,HDM,NO,HDZ,NO
26,More than 12 months,DWC,Recurrent,192,126.02,293.43,42019,0.7342,HDM,YES,HDZ,NO
27,3 - 6 months,DWC,Recurrent,115,66.25,176.9,19508,0.7101,LDM,NO,LDZ,YES
28,3 - 6 months,DWC,Recurrent,25,30.71,87.22,1640,0.1505,LDM,NO,HDZ,NO
29,1 -2 months,DWC,New,1,3.15,129.01,123,0.1015,HDM,NO,LDZ,YES
30,3 - 6 months,DWC,Recurrent,4,9.99,139.7,535,0.1952,HDM,NO,LDZ,YES
31,More than 12 months,DWC,Reactivated,6,3.86,279.09,1405,0.6719,LDM,NO,HDZ,YES
32,1 -2 months,DWC,New,100,74.34,297.26,22651,0.7247,HDM,NO,HDZ,NO
33,3 - 6 months,DWC,Reactivated,78,44.94,273.34,15706,0.8164,HDM,NO,HDZ,NO
34,More than 12 months,DWC,Recurrent,77,58.88,310.5,19112,0.6332,HDM,YES,HDZ,NO
35,3 - 6 months,DWC,Recurrent,45,84.57,150.64,5602,0.1455,LDM,NO,HDZ,NO
36,3 - 6 months,DWC,Recurrent,144,81.67,247.05,29058,0.7291,HDM,NO,HDZ,NO
37,1 -2 months,DWC,New,3,4.54,137.5,395,0.2866,LDM,NO,HDZ,YES
38,3 - 6 months,DWC,Recurrent,62,42.74,305.45,13861,0.7817,HDM,NO,HDZ,NO
39,3 - 6 months,DWC,Recurrent,16,17.83,275.71,3736,0.5215,LDM,NO,HDZ,NO
40,More than 12 months,DWC,Recurrent,321,206.51,275.32,68682,0.7552,HDM,YES,HDZ,NO
41,1 -2 months,DWC,Recurrent,44,96.24,151.31,6383,0.3594,HDM,NO,HDZ,NO
42,1 -2 months,DWC,Recurrent,55,41.55,185.51,9981,0.6826,HDM,NO,HDZ,YES
43,3 - 6 months,DWC,Reactivated,83,45.32,246.93,15328,0.7692,HDM,NO,HDZ,YES
44,More than 12 months,DWC,Recurrent,88,42.9,236.29,15421,0.8406,HDM,NO,HDZ,NO
45,1 -2 months,DWOC,Recurrent,177,120.47,277.02,36599,0.7746,HDM,YES,HDZ,NO
46,7-12 months,DWC,Recurrent,69,61.63,229.75,13550,0.5132,HDM,NO,HDZ,NO
47,1 -2 months,DWC,Recurrent,3,2.98,127.33,366,0.3734,HDM,NO,HDZ,YES
48,7-12 months,DWC,Recurrent,3,2.31,283.94,769,0.7835,HDM,NO,HDZ,NO
49,3 - 6 months,DWC,Recurrent,110,70.91,274.13,22628,0.7193,HDM,NO,HDZ,NO
50,1 -2 months,DWC,New,55,44.55,150.99,7616,0.3345,LDM,NO,HDZ,NO
51,1 -2 months,DWOC,Recurrent,236,172.98,296.73,52888,0.7477,HDM,YES,HDZ,NO
52,3 - 6 months,DWOC,Recurrent,293,207.63,303.4,66714,0.7908,HDM,YES,HDZ,NO
53,3 - 6 months,DWC,Recurrent,157,102.41,280.89,32329,0.7823,HDM,YES,HDZ,NO
54,3 - 6 months,DWC,Recurrent,188,91.88,161.84,27430,0.5908,LDM,NO,LDZ,NO
55,More than 12 months,DWC,Recurrent,29,18.14,247.07,5215,0.7814,HDM,YES,HDZ,NO
56,7-12 months,DWC,Recurrent,239,148.61,275.22,50094,0.7906,HDM,YES,HDZ,NO
57,1 -2 months,DWC,New,8,6.12,234.04,1694,0.7403,HDM,NO,HDZ,NO
58,More than 12 months,DWC,Reactivated,87,52.05,251.61,16341,0.7013,HDM,NO,HDZ,NO
59,1 -2 months,DWC,Recurrent,48,27.97,218.43,7627,0.7974,HDM,NO,HDZ,YES
60,1 -2 months,DWC,New,3,10.1,400.46,1157,0.2475,HDM,NO,LDZ,NO
61,More than 12 months,DWC,Recurrent,299,202.12,247.96,56462,0.6984,HDM,NO,HDZ,NO
62,1 -2 months,DWC,New,21,7.91,76.18,1531,0.5301,HDM,NO,LDZ,YES
63,3 - 6 months,DWC,Reactivated,12,5.64,313.18,2710,0.79,LDM,NO,HDZ,YES
64,3 - 6 months,DWOC,Recurrent,362,233.92,273.28,74353,0.7399,HDM,YES,HDZ,NO
65,More than 12 months,DWC,Recurrent,193,117.66,279.98,40261,0.6724,HDM,YES,HDZ,NO
66,7-12 months,DWC,Recurrent,42,24.35,240.96,7463,0.7864,HDM,NO,HDZ,NO
67,7-12 months,DWC,Reactivated,29,25.29,313.95,6763,0.4949,HDM,YES,HDZ,NO
68,More than 12 months,DWC,Recurrent,257,179.79,329.65,63154,0.7268,HDM,YES,HDZ,NO
69,7-12 months,DWC,Recurrent,237,140.26,291.18,51776,0.7533,HDM,YES,HDZ,NO
70,3 - 6 months,DWC,Recurrent,144,95.68,295.47,31526,0.8135,HDM,YES,HDZ,NO
71,3 - 6 months,DWC,Recurrent,52,31.71,243,9483,0.7262,LDM,NO,HDZ,NO
72,3 - 6 months,DWC,Recurrent,12,6.15,326.96,2868,0.8238,HDM,YES,HDZ,NO
73,3 - 6 months,DWOC,Recurrent,379,255.67,328.39,92559,0.7678,HDM,YES,HDZ,NO
74,7-12 months,DWC,Recurrent,117,58.98,233.48,21447,0.7156,HDM,NO,HDZ,YES
75,More than 12 months,DWC,Recurrent,245,186.36,273.14,51490,0.627,LDM,NO,HDZ,NO
76,More than 12 months,DWC,Recurrent,185,101.63,253.35,34538,0.7904,HDM,YES,HDZ,NO
77,More than 12 months,DWC,Recurrent,281,172.24,276.54,57458,0.8161,HDM,YES,HDZ,NO
78,7-12 months,DWC,Recurrent,51,23.49,243.2,8984,0.7737,HDM,NO,HDZ,YES
79,1 -2 months,DWC,New,31,56.94,703.5,16578,0.4738,HDM,YES,HDZ,NO
80,More than 12 months,DWC,Recurrent,213,223.67,197.02,37158,0.4257,LDM,NO,HDZ,NO
81,More than 12 months,DWC,Recurrent,207,182.58,386.43,59095,0.5895,HDM,YES,HDZ,NO
82,7-12 months,DWC,Recurrent,300,190.06,304.74,68202,0.7158,HDM,YES,HDZ,NO
83,3 - 6 months,DWC,Recurrent,241,160.7,221.55,40002,0.7204,HDM,NO,HDZ,NO
84,More than 12 months,DWC,Recurrent,163,122.88,302.06,37872,0.7172,HDM,YES,HDZ,NO
85,1 -2 months,DWC,New,6,10.49,119.34,686,0.219,LDM,NO,LDZ,NO
86,7-12 months,DWC,Recurrent,115,61.21,229.98,19436,0.6891,HDM,NO,HDZ,NO
87,1 -2 months,DWC,Recurrent,84,77.69,168.75,13604,0.4773,HDM,NO,HDZ,NO
88,1 -2 months,DWC,New,8,10.34,170.06,1199,0.4101,LDM,NO,LDZ,YES
89,7-12 months,DWC,Recurrent,35,21.02,309.38,7979,0.8297,HDM,NO,HDZ,NO
90,7-12 months,DWC,Recurrent,185,164.32,326.34,45655,0.6655,HDM,YES,HDZ,NO
91,1 -2 months,DWC,Recurrent,2,0.9,140.25,268,0.662,HDM,NO,LDZ,YES
92,1 -2 months,DWC,New,6,4.78,98.19,564,0.5014,HDM,NO,HDZ,YES
93,7-12 months,DWC,Recurrent,4,6.11,220.99,846,0.396,HDM,NO,LDZ,YES
94,1 -2 months,DWOC,Recurrent,354,246.51,283.32,74852,0.6849,HDM,YES,HDZ,NO
95,More than 12 months,DWC,Recurrent,42,26.1,232.92,7742,0.7507,HDM,NO,HDZ,NO
96,1 -2 months,DWC,New,1,0.28,210.59,151,0.5791,HDM,NO,HDZ,YES
97,More than 12 months,DWOC,Recurrent,147,83.47,241.75,28823,0.6388,LDM,YES,HDZ,NO
98,1 -2 months,DWOC,New,168,132.7,250.82,34114,0.6487,HDM,YES,HDZ,NO
99,1 -2 months,DWC,New,5,9.15,111.08,531,0.2401,HDM,NO,LDZ,YES
100,1 -2 months,DWC,Recurrent,14,10.01,111.64,1496,0.3837,HDM,NO,HDZ,YES
101,More than 12 months,DWC,Recurrent,187,116.44,307.36,42284,0.7886,HDM,YES,HDZ,NO
102,3 - 6 months,DWC,Recurrent,54,42.05,228.59,10403,0.5132,HDM,NO,LDZ,NO
103,1 -2 months,DWC,Recurrent,1,1.55,138.5,133,0.2797,HDM,NO,LDZ,NO
104,7-12 months,DWC,Recurrent,378,229.62,265.51,73628,0.8291,HDM,YES,HDZ,NO
105,3 - 6 months,DWC,Recurrent,327,163.95,247.59,59482,0.7504,HDM,NO,HDZ,NO
106,7-12 months,DWC,Recurrent,136,96.86,332.4,33899,0.762,HDM,YES,HDZ,NO
107,1 -2 months,DWC,New,1,0.54,167.09,160,0.5974,LDM,NO,LDZ,YES
108,More than 12 months,DWC,Recurrent,223,175.3,304.74,55555,0.7616,HDM,YES,HDZ,NO
109,More than 12 months,DWC,Recurrent,15,10.12,271.44,3067,0.5423,HDM,NO,HDZ,NO
110,3 - 6 months,DWC,Recurrent,315,228.72,252.39,64287,0.7061,HDM,NO,HDZ,NO
111,7-12 months,DWC,Recurrent,278,159.12,239.11,49135,0.7859,HDM,NO,HDZ,NO
112,More than 12 months,DWC,Recurrent,82,60.54,255.78,19106,0.745,HDM,YES,LDZ,NO
113,7-12 months,DWC,Recurrent,276,143.49,242.67,48869,0.723,HDM,NO,HDZ,NO
114,3 - 6 months,DWC,Recurrent,114,58.6,264.98,22729,0.7488,HDM,NO,HDZ,NO
115,1 -2 months,DWOC,Recurrent,49,34.33,153.26,7175,0.4639,HDM,NO,HDZ,NO
116,3 - 6 months,DWC,Recurrent,120,129.58,279.13,29156,0.4689,HDM,NO,HDZ,NO
117,7-12 months,DWC,Recurrent,138,94.07,277.59,27955,0.709,HDM,NO,HDZ,NO
118,7-12 months,DWC,Recurrent,24,19.53,320.75,5823,0.7937,HDM,YES,HDZ,YES
119,7-12 months,DWC,Recurrent,127,85.4,250.9,24346,0.6908,LDM,NO,HDZ,YES
120,7-12 months,DWC,Recurrent,97,79.04,377.71,28700,0.6632,HDM,YES,HDZ,NO
121,More than 12 months,DWC,Recurrent,249,151.76,276.48,50744,0.743,HDM,YES,HDZ,NO
122,3 - 6 months,DWC,Recurrent,97,47.31,165.92,15089,0.6961,HDM,NO,HDZ,NO
123,More than 12 months,DWC,Recurrent,161,186.75,416.32,50307,0.5423,HDM,NO,HDZ,NO
124,1 -2 months,DWC,New,23,18.93,170.08,3253,0.5412,HDM,NO,LDZ,NO
125,3 - 6 months,DWC,Recurrent,258,205.67,194.39,48109,0.6431,HDM,NO,LDZ,NO
126,7-12 months,DWC,Reactivated,7,5.72,185.45,966,0.5539,HDM,YES,HDZ,YES
127,More than 12 months,DWC,Recurrent,168,102.16,294.19,36332,0.7127,HDM,YES,HDZ,YES
128,3 - 6 months,DWC,Recurrent,67,59.99,249.67,12437,0.4573,HDM,YES,HDZ,NO
129,3 - 6 months,DWC,Recurrent,6,3.14,266.86,1272,0.814,HDM,NO,HDZ,NO
130,More than 12 months,DWC,Recurrent,255,147.46,273.98,52059,0.7511,HDM,YES,HDZ,NO
131,3 - 6 months,DWOC,Recurrent,27,19.92,310.94,6120,0.5988,HDM,YES,HDZ,NO
132,7-12 months,DWC,Recurrent,95,66.58,223.92,18549,0.511,LDM,NO,LDZ,NO
133,1 -2 months,DWC,New,144,128.26,238.7,29866,0.5057,HDM,NO,LDZ,NO
134,More than 12 months,DWC,Recurrent,327,203.21,277.97,68492,0.8157,HDM,YES,HDZ,NO
135,7-12 months,DWC,Reactivated,1,0.6,113.27,81,0.4757,HDM,NO,HDZ,YES
136,7-12 months,DWC,Recurrent,344,209.81,280.03,71836,0.7892,HDM,YES,HDZ,NO
137,More than 12 months,DWC,Recurrent,192,124.73,335.16,48073,0.7203,HDM,YES,HDZ,NO
138,More than 12 months,DWC,Recurrent,149,114.97,380.8,43376,0.7868,HDM,YES,HDZ,NO
139,3 - 6 months,DWC,Recurrent,126,95.38,258.62,24902,0.7149,HDM,NO,HDZ,NO
140,3 - 6 months,DWC,Reactivated,1,8.75,182.68,175,0.122,LDM,NO,LDZ,YES
141,1 -2 months,DWOC,Recurrent,209,140.33,298.52,46395,0.7972,HDM,YES,HDZ,NO
142,7-12 months,DWC,Recurrent,24,14.67,255.76,4622,0.7922,LDM,NO,HDZ,NO
143,3 - 6 months,DWC,Reactivated,2,1.44,184.99,354,0.6403,HDM,NO,LDZ,YES
144,7-12 months,DWC,Recurrent,115,59.08,194.34,17216,0.6237,LDM,NO,HDZ,YES
145,1 -2 months,DWC,Recurrent,9,6.5,244.08,1595,0.7206,HDM,NO,HDZ,YES
146,7-12 months,DWC,Recurrent,115,73.05,298.06,25153,0.7965,HDM,YES,HDZ,NO
147,1 -2 months,DWC,Recurrent,356,242.05,190.64,56640,0.5392,HDM,NO,HDZ,NO
148,3 - 6 months,DWOC,Recurrent,110,67.81,266,22038,0.782,HDM,YES,HDZ,YES
149,7-12 months,DWC,Recurrent,2,4.48,273,523,0.3374,LDM,NO,LDZ,NO
150,3 - 6 months,DWC,Recurrent,22,15.34,228.76,4642,0.5154,LDM,NO,LDZ,YES
151,1 -2 months,DWC,Recurrent,7,7.14,172.29,1229,0.5029,HDM,NO,HDZ,NO
152,More than 12 months,DWC,Recurrent,173,119.93,350.52,44808,0.8444,HDM,YES,HDZ,NO
153,1 -2 months,DWC,New,1,3.86,108,103,0.08,LDM,NO,LDZ,YES
154,More than 12 months,DWC,Recurrent,148,82.2,290.33,32203,0.824,HDM,YES,HDZ,NO
155,3 - 6 months,DWOC,Recurrent,320,253.51,340.42,82833,0.6742,HDM,YES,HDZ,NO
156,1 -2 months,DWC,Recurrent,21,80.48,121.14,2366,0.093,HDM,NO,HDZ,NO
157,7-12 months,DWC,Recurrent,171,123.29,290.89,41438,0.7686,HDM,YES,HDZ,NO
158,1 -2 months,DWC,New,167,118.43,188.01,28715,0.6493,HDM,NO,LDZ,NO
159,3 - 6 months,DWC,Recurrent,230,133.73,231.61,43906,0.6734,HDM,NO,HDZ,NO
160,1 -2 months,DWOC,New,107,76.27,280.55,23025,0.6069,HDM,YES,HDZ,NO
161,3 - 6 months,DWC,Reactivated,12,11.4,191.92,1713,0.47,HDM,NO,HDZ,YES
162,More than 12 months,DWC,Recurrent,143,78.96,259.91,28701,0.7007,LDM,NO,HDZ,YES
163,3 - 6 months,DWC,Reactivated,22,16.08,219.44,3783,0.6066,HDM,NO,HDZ,YES
164,7-12 months,DWC,Recurrent,9,5.44,123.08,1060,0.4533,HDM,NO,HDZ,YES
165,More than 12 months,DWOC,Recurrent,232,177.83,311.34,55578,0.6384,HDM,YES,HDZ,NO
166,More than 12 months,DWOC,Reactivated,32,20.79,282.68,6595,0.6382,LDM,YES,HDZ,YES
167,1 -2 months,DWC,New,91,55.08,266.71,17970,0.7219,HDM,NO,HDZ,NO
168,1 -2 months,DWC,Recurrent,3,2.39,425.25,1094,0.8734,HDM,NO,HDZ,NO
169,More than 12 months,DWC,Recurrent,2,18.16,68.5,98,0.0752,HDM,NO,LDZ,NO
170,3 - 6 months,DWOC,Recurrent,334,234.48,316.61,79577,0.7661,HDM,YES,HDZ,NO
171,3 - 6 months,DWC,Recurrent,44,61.24,146.62,6179,0.4571,LDM,NO,LDZ,NO
172,7-12 months,DWOC,Recurrent,308,181.95,302.1,68996,0.7954,HDM,YES,HDZ,NO
173,3 - 6 months,DWC,Recurrent,271,131.9,256.24,50533,0.7027,LDM,NO,HDZ,NO
174,7-12 months,DWC,Recurrent,65,33.16,221.45,10610,0.7861,HDM,NO,HDZ,NO
175,1 -2 months,DWC,New,2,4.04,128.96,185,0.1718,HDM,NO,LDZ,YES
176,7-12 months,DWOC,Recurrent,76,51.65,293.12,17075,0.807,HDM,YES,HDZ,NO
177,3 - 6 months,DWC,Recurrent,173,108.72,222.88,30475,0.6039,HDM,NO,HDZ,NO
178,7-12 months,DWC,Recurrent,24,13.05,207.23,3609,0.8566,HDM,YES,HDZ,NO
179,1 -2 months,DWC,New,1,8.65,209,150,0.075,HDM,NO,HDZ,YES
180,7-12 months,DWC,Recurrent,148,92.01,295.29,32135,0.7886,HDM,YES,HDZ,NO
181,More than 12 months,DWC,Recurrent,113,76.07,265.15,22219,0.6313,HDM,NO,HDZ,NO
182,7-12 months,DWC,Reactivated,27,20.14,212.72,4872,0.6386,HDM,NO,LDZ,NO
183,More than 12 months,DWC,Recurrent,208,134.49,314.99,48105,0.8211,HDM,YES,HDZ,NO
184,1 -2 months,DWC,Recurrent,7,4.9,254.16,1896,0.8564,HDM,NO,LDZ,YES
185,3 - 6 months,DWC,Recurrent,169,93.8,242.77,30056,0.7492,HDM,NO,HDZ,NO
186,More than 12 months,DWC,Recurrent,391,206.56,238.42,69025,0.7311,HDM,YES,HDZ,NO
187,More than 12 months,DWC,Reactivated,1,0.78,140.31,209,0.5661,HDM,NO,LDZ,NO
188,7-12 months,DWC,Recurrent,4,2.87,168.65,487,0.4802,LDM,NO,HDZ,YES
189,1 -2 months,DWC,New,1,4.68,91.64,88,0.1172,HDM,NO,LDZ,YES
190,7-12 months,DWC,Recurrent,74,190,715.64,43981,0.3867,HDM,YES,HDZ,NO
191,7-12 months,DWC,Recurrent,306,241.54,368.3,83920,0.691,HDM,YES,HDZ,NO
192,7-12 months,DWOC,Recurrent,30,16.2,334.36,8099,0.7906,HDM,YES,HDZ,NO
193,More than 12 months,DWC,Recurrent,88,56.54,262.45,17271,0.757,HDM,NO,HDZ,NO
194,3 - 6 months,DWC,Recurrent,8,4.59,316.53,1874,0.6999,HDM,NO,HDZ,NO
195,7-12 months,DWC,Reactivated,54,33.21,236.07,9601,0.6447,HDM,NO,HDZ,NO
196,More than 12 months,DWC,Recurrent,71,61.61,182.4,12413,0.499,HDM,NO,LDZ,NO
197,More than 12 months,DWC,Reactivated,225,386.75,196.97,36642,0.2282,HDM,NO,HDZ,NO
198,7-12 months,DWC,Recurrent,145,210.9,691.87,75769,0.4924,HDM,YES,HDZ,YES
199,More than 12 months,DWC,Recurrent,313,247.93,352.1,84553,0.7235,HDM,YES,HDZ,NO
200,1 -2 months,DWC,New,44,67.9,328.29,12083,0.378,HDM,NO,HDZ,NO
201,3 - 6 months,DWC,Recurrent,12,49.52,82.87,954,0.0628,LDM,NO,LDZ,NO
202,More than 12 months,DWC,Reactivated,30,14.83,287.42,6647,0.8045,HDM,NO,HDZ,YES
203,3 - 6 months,DWC,Recurrent,203,125.12,65,12523,0.3736,HDM,NO,HDZ,NO
204,7-12 months,DWC,Recurrent,200,117.38,274.48,40409,0.7465,HDM,NO,HDZ,NO
205,3 - 6 months,DWC,Recurrent,41,25.23,304.55,9188,0.6039,HDM,NO,HDZ,NO
206,3 - 6 months,DWC,Recurrent,56,35.7,202.99,8714,0.6408,HDM,YES,HDZ,YES
207,More than 12 months,DWC,Recurrent,218,171.02,342.15,56536,0.713,HDM,YES,HDZ,NO
208,1 -2 months,DWC,Recurrent,45,31.79,200.62,7150,0.6302,HDM,NO,HDZ,NO
209,More than 12 months,DWC,Recurrent,275,159.37,278.08,56564,0.7728,HDM,YES,HDZ,NO
210,1 -2 months,DWC,New,11,12.47,127.71,1344,0.3289,HDM,NO,LDZ,NO
211,1 -2 months,DWOC,New,118,86.49,281.75,24291,0.5751,HDM,NO,HDZ,NO
212,3 - 6 months,DWC,Recurrent,18,12.57,144.73,2498,0.4523,HDM,NO,HDZ,NO
213,3 - 6 months,DWC,Recurrent,219,301.54,469.74,78007,0.3914,HDM,YES,HDZ,NO
214,3 - 6 months,DWC,Recurrent,77,45.83,298.25,17810,0.7895,HDM,NO,HDZ,NO
215,7-12 months,DWC,Recurrent,97,59.15,246.32,18073,0.7785,HDM,NO,HDZ,NO
216,1 -2 months,DWC,Recurrent,1,1.07,360,345,0.8849,HDM,NO,HDZ,YES
217,3 - 6 months,DWC,Recurrent,197,105.25,266.67,38992,0.738,HDM,YES,HDZ,NO
218,1 -2 months,DWC,Recurrent,7,10.89,160.83,1027,0.2547,HDM,NO,HDZ,YES
219,7-12 months,DWC,Recurrent,131,90.74,319.74,31926,0.7652,HDM,YES,HDZ,NO
220,3 - 6 months,DWC,Recurrent,9,16.62,291.23,2088,0.3298,HDM,NO,HDZ,YES
221,7-12 months,DWC,Recurrent,170,142.44,306.79,43501,0.6375,LDM,NO,HDZ,NO
222,More than 12 months,DWC,Recurrent,234,161.94,324.89,56492,0.8021,HDM,YES,HDZ,NO
223,3 - 6 months,DWC,Reactivated,112,58.37,259.3,21131,0.6598,LDM,NO,HDZ,NO
224,7-12 months,DWC,Recurrent,186,144.58,245.56,39932,0.6165,HDM,NO,HDZ,NO
225,7-12 months,DWC,Recurrent,163,108.73,259.36,31485,0.6597,HDM,NO,HDZ,NO
226,3 - 6 months,DWC,Recurrent,91,62.16,248.5,16701,0.7146,HDM,NO,HDZ,NO
227,7-12 months,DWC,Recurrent,185,100.27,307.37,41789,0.8003,HDM,YES,HDZ,NO
228,3 - 6 months,DWC,Recurrent,27,17.88,265.13,5289,0.5889,HDM,NO,HDZ,NO
229,3 - 6 months,DWC,Reactivated,4,2.5,110.29,422,0.5576,HDM,NO,LDZ,YES
230,3 - 6 months,DWC,Recurrent,35,21.36,276.79,7242,0.7871,HDM,NO,HDZ,NO
231,1 -2 months,DWC,New,3,15.76,165.87,479,0.0676,HDM,NO,HDZ,NO
232,3 - 6 months,DWC,Recurrent,210,127.41,225.17,37344,0.6268,HDM,NO,HDZ,NO
233,1 -2 months,DWC,New,10,10.28,231.51,2415,0.5854,HDM,NO,LDZ,NO
234,1 -2 months,DWC,Recurrent,145,101.11,275.41,32598,0.6943,HDM,NO,HDZ,NO
235,More than 12 months,DWC,Recurrent,216,147.93,313.14,51714,0.756,HDM,YES,HDZ,NO
236,1 -2 months,DWC,Recurrent,186,117.33,292.87,41398,0.6818,LDM,NO,HDZ,NO
237,More than 12 months,DWC,Recurrent,285,181.25,324.78,69994,0.7614,HDM,YES,HDZ,NO
238,3 - 6 months,DWOC,Recurrent,246,213.89,432.86,80489,0.6781,HDM,YES,HDZ,NO
239,1 -2 months,DWC,Recurrent,7,8.28,247.57,1661,0.6118,HDM,NO,LDZ,YES
240,1 -2 months,DWC,New,1,0.75,148.92,143,0.5531,HDM,NO,LDZ,YES
241,More than 12 months,DWC,Recurrent,12,13.44,255.03,2404,0.4304,HDM,NO,HDZ,YES
242,1 -2 months,DWOC,New,2,1.02,114.33,164,0.4796,HDM,NO,HDZ,YES
243,3 - 6 months,DWC,Recurrent,105,64.66,127.77,12858,0.5723,HDM,NO,LDZ,NO
244,3 - 6 months,DWC,Recurrent,2,2.64,60,115,0.1734,HDM,NO,HDZ,YES
245,7-12 months,DWC,Recurrent,55,30.22,193.14,7683,0.5331,HDM,NO,HDZ,NO
246,More than 12 months,DWC,Recurrent,94,53.46,283.54,19953,0.7607,HDM,YES,HDZ,NO
247,More than 12 months,DWC,Recurrent,79,48,249.33,14856,0.7573,HDM,NO,HDZ,YES
248,More than 12 months,DWC,Recurrent,14,8.26,260.3,2621,0.7652,LDM,YES,HDZ,NO
249,7-12 months,DWC,Reactivated,45,27.45,268.82,8870,0.8229,HDM,YES,HDZ,NO
250,7-12 months,DWC,Recurrent,70,38.93,324.28,17518,0.8394,HDM,YES,HDZ,NO
251,3 - 6 months,DWC,Recurrent,218,155.7,216.65,36811,0.6777,HDM,NO,HDZ,NO
252,7-12 months,DWC,Recurrent,72,43.44,235.48,12257,0.7556,HDM,NO,HDZ,NO
253,3 - 6 months,DWC,Recurrent,7,19.09,264.56,1406,0.1385,LDM,NO,HDZ,YES
254,3 - 6 months,DWC,Recurrent,134,113.93,230.93,24996,0.5548,HDM,NO,HDZ,NO
255,3 - 6 months,DWC,Recurrent,90,60.44,172.39,14804,0.5469,HDM,NO,LDZ,NO
256,1 -2 months,DWC,New,14,13.8,199.31,2351,0.4103,HDM,NO,HDZ,YES
257,1 -2 months,DWC,Recurrent,11,6.9,215.82,1842,0.7608,HDM,NO,HDZ,YES
258,1 -2 months,DWC,New,2,7.08,266.4,382,0.1743,HDM,NO,HDZ,YES
259,7-12 months,DWC,Recurrent,82,49.03,235.06,14273,0.7739,HDM,NO,HDZ,NO
260,1 -2 months,DWC,Recurrent,3,1.59,127.31,274,0.4518,LDM,NO,HDZ,YES
261,1 -2 months,DWC,New,132,86.43,259.68,24884,0.7498,HDM,YES,HDZ,NO
262,3 - 6 months,DWC,Recurrent,26,12.64,52.85,993,0.4111,HDM,NO,HDZ,NO
263,1 -2 months,DWC,New,198,157.81,198.86,31213,0.5269,HDM,NO,HDZ,NO
264,3 - 6 months,DWC,Reactivated,8,4.5,399.27,2517,0.8362,HDM,NO,HDZ,YES
265,7-12 months,DWC,Recurrent,326,223.73,284.05,68091,0.6403,HDM,NO,HDZ,NO
266,1 -2 months,DWC,Recurrent,199,208.86,197.41,37067,0.4034,HDM,NO,LDZ,NO
267,3 - 6 months,DWC,Recurrent,77,55.34,248.51,14975,0.61,HDM,NO,HDZ,NO
268,7-12 months,DWC,Recurrent,104,58.15,285.8,22771,0.752,HDM,YES,HDZ,NO
269,More than 12 months,DWC,Reactivated,38,21.75,239.42,6646,0.762,HDM,YES,HDZ,NO
270,3 - 6 months,DWC,Recurrent,19,9.53,258.7,3622,0.8018,HDM,NO,HDZ,YES
271,3 - 6 months,DWOC,Recurrent,161,95.15,270.86,32902,0.7167,HDM,YES,HDZ,NO
