ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
1,3 - 6 months,DWC,Recurrent,11,8.08,221.37,2276,0.6104,HDM,NO,LDZ,YES
2,3 - 6 months,DWC,Recurrent,251,161.75,185.73,39149,0.5384,HDM,NO,HDZ,NO
3,7-12 months,DWC,Recurrent,68,43.13,285.14,14787,0.7052,LDM,YES,HDZ,NO
4,3 - 6 months,DWC,Recurrent,179,107.64,226.34,32323,0.7173,HDM,NO,HDZ,YES
5,1 - 2 months,DWC,New,2,11.06,174.5,334,0.0992,LDM,NO,LDZ,YES
6,1 - 2 months,DWC,Recurrent,15,8.49,137.69,1534,0.5,HDM,NO,HDZ,NO
7,3 - 6 months,DWC,Recurrent,158,115.96,261.71,30663,0.6451,HDM,YES,HDZ,NO
8,1 - 2 months,DWC,Recurrent,169,155.01,397.43,51135,0.7316,HDM,YES,HDZ,NO
9,7-12 months,DWC,Recurrent,17,14.86,392.69,5489,0.6395,LDM,NO,HDZ,YES
10,1 - 2 months,DWC,New,4,2.41,149.75,573,0.4948,HDM,NO,LDZ,YES
11,More than 12 months,DWC,Recurrent,189,103.44,243.57,33954,0.7501,HDM,NO,HDZ,NO
12,1 - 2 months,DWC,New,3,3.39,173.18,390,0.2932,HDM,NO,HDZ,YES
13,1 - 2 months,DWC,Recurrent,5,9.07,104.49,375,0.1691,HDM,NO,HDZ,YES
14,1 - 2 months,DWOC,New,8,3.76,169.66,978,0.6755,HDM,NO,HDZ,YES
15,3 - 6 months,DWC,Recurrent,43,20.61,261.76,8301,0.7437,HDM,NO,HDZ,NO
16,7-12 months,DWC,Recurrent,178,108.23,257.51,33492,0.7997,HDM,YES,HDZ,NO
17,1 - 2 months,DWOC,New,19,8.61,249.31,3400,0.7902,HDM,YES,HDZ,NO
18,1 - 2 months,DWC,Recurrent,8,9.35,214.37,1339,0.4661,LDM,NO,HDZ,NO
19,3 - 6 months,DWC,Reactivated,8,31.49,151.21,1153,0.1034,HDM,NO,HDZ,YES
20,3 - 6 months,DWC,Recurrent,8,5.07,218.29,1338,0.6781,HDM,YES,HDZ,NO
21,1 - 2 months,DWC,New,6,4.81,153.45,661,0.4592,HDM,NO,HDZ,NO
22,3 - 6 months,DWC,Reactivated,9,10.88,195.49,1707,0.4243,HDM,NO,LDZ,YES
23,3 - 6 months,DWC,Recurrent,5,11.02,259.1,1007,0.2762,HDM,NO,HDZ,YES
24,1 - 2 months,DWC,New,1,0.3,115,83,0.6694,LDM,NO,HDZ,YES
25,More than 12 months,DWC,Reactivated,7,3.16,149.23,910,0.7048,HDM,NO,HDZ,YES
26,7-12 months,DWC,Recurrent,112,64.45,254.78,21919,0.6531,HDM,YES,HDZ,NO
27,7-12 months,DWC,Recurrent,98,68.37,272.63,20600,0.698,HDM,NO,HDZ,NO
28,3 - 6 months,DWC,Recurrent,1,0.67,683.98,515,0.9595,LDM,NO,HDZ,YES
29,7-12 months,DWOC,Recurrent,3,5.19,413.36,1191,0.3912,HDM,NO,LDZ,YES
30,1 - 2 months,DWOC,New,184,134.38,277.78,37917,0.769,HDM,YES,HDZ,NO
31,1 - 2 months,DWC,Recurrent,66,50.42,189.2,10570,0.542,HDM,NO,HDZ,NO
32,3 - 6 months,DWOC,Recurrent,207,135.66,247.31,37368,0.6756,HDM,NO,HDZ,NO
33,7-12 months,DWC,Recurrent,11,11.31,195.09,1763,0.4534,HDM,NO,LDZ,NO
34,1 - 2 months,DWC,New,2,1.48,136.93,262,0.5172,HDM,NO,LDZ,YES
35,More than 12 months,DWC,Recurrent,1,3.29,115,83,0.0536,HDM,NO,HDZ,YES
36,1 - 2 months,DWC,New,2,2,43.11,83,0.2148,HDM,NO,LDZ,YES
37,3 - 6 months,DWC,Recurrent,1,0.53,343.5,250,0.86240000000000006,LDM,NO,HDZ,YES
38,3 - 6 months,DWC,Recurrent,105,59.8,232.78,17827,0.6958,HDM,NO,HDZ,YES
39,More than 12 months,DWC,Recurrent,64,59.66,226.96,12803,0.4414,HDM,NO,LDZ,NO
40,1 - 2 months,DWC,New,3,4.39,67.67,169,0.1229,LDM,NO,HDZ,NO
41,3 - 6 months,DWC,Recurrent,152,178.1,481.88,57416,0.524,HDM,YES,HDZ,NO
42,3 - 6 months,DWC,Recurrent,256,196.03,166.82,32812,0.4268,HDM,NO,HDZ,NO
43,More than 12 months,DWC,Recurrent,13,33.41,384.56,4049,0.3412,HDM,YES,HDZ,NO
44,7-12 months,DWC,Recurrent,31,15.89,126.65,3764,0.5545,LDM,NO,LDZ,NO
45,1 - 2 months,DWC,Recurrent,24,17.79,188.8,4321,0.6854,HDM,NO,LDZ,YES
46,1 - 2 months,DWC,Recurrent,7,4.57,116.64,628,0.4093,HDM,NO,HDZ,YES
47,1 - 2 months,DWC,Recurrent,2,1.01,183.02,266,0.8556,HDM,NO,HDZ,YES
48,1 - 2 months,DWC,New,1,2.82,78.5,75,0.1136,LDM,NO,HDZ,NO
49,More than 12 months,DWC,Recurrent,149,107.49,301.1,33314,0.8024,HDM,YES,HDZ,NO
50,1 - 2 months,DWC,Recurrent,6,3.4,189.33,994,0.7359,HDM,YES,HDZ,YES
51,1 - 2 months,DWC,New,2,8.41,183.74,264,0.1554,HDM,NO,HDZ,YES
52,1 - 2 months,DWC,New,35,23.62,198.97,6375,0.6194,HDM,NO,HDZ,YES
53,1 - 2 months,DWC,Recurrent,3,2.34,237.34,683,0.5523,HDM,NO,HDZ,YES
54,7-12 months,DWOC,Recurrent,128,79.14,243.54,23725,0.7915,HDM,YES,HDZ,NO
55,1 - 2 months,DWC,Recurrent,3,3.59,162.57,467,0.3084,LDM,NO,LDZ,YES
56,3 - 6 months,DWC,Reactivated,1,1.29,273.83,262,0.6253,HDM,NO,LDZ,YES
57,More than 12 months,DWC,Recurrent,156,115.53,284.56,33035,0.6865,HDM,YES,HDZ,NO
58,More than 12 months,DWC,Reactivated,3,2.53,121.17,261,0.3619,HDM,NO,HDZ,YES
59,More than 12 months,DWC,Recurrent,123,109.46,363.28,35614,0.6356,HDM,YES,HDZ,NO
60,3 - 6 months,DWC,Recurrent,4,28.29,32.38,124,0.0113,HDM,NO,LDZ,YES
61,1 - 2 months,DWC,New,3,6.27,80.17,230,0.1616,HDM,NO,LDZ,YES
62,1 - 2 months,DWC,Recurrent,31,34.87,241.4,7147,0.5111,HDM,NO,HDZ,YES
63,1 - 2 months,DWC,New,4,7.15,138.34,654,0.3214,HDM,NO,LDZ,YES
64,3 - 6 months,DWC,Recurrent,29,13.1,148.99,4143,0.6437,HDM,NO,LDZ,YES
65,More than 12 months,DWC,Reactivated,30,28.3,263,6450,0.5595,HDM,NO,HDZ,NO
66,1 - 2 months,DWC,New,2,4.52,167.58,242,0.1124,LDM,NO,HDZ,NO
67,1 - 2 months,DWC,New,27,20.73,241.33,5763,0.6034,LDM,NO,HDZ,YES
68,1 - 2 months,DWC,Recurrent,1,0.37,139.6,101,0.8617,HDM,NO,HDZ,YES
69,7-12 months,DWC,Recurrent,1,1.76,650.5,480,0.565,LDM,NO,HDZ,NO
70,1 - 2 months,DWC,New,5,10.88,198.85,871,0.1485,HDM,NO,HDZ,YES
71,More than 12 months,DWC,Reactivated,2,1.13,296.02,432,0.7229,HDM,NO,HDZ,YES
72,3 - 6 months,DWOC,Recurrent,287,209.95,312.18,68417,0.7496,HDM,YES,HDZ,YES
73,More than 12 months,DWC,Recurrent,12,10.62,323.39,3458,0.7191,HDM,YES,HDZ,YES
74,1 - 2 months,DWC,New,56,48.35,172.52,8749,0.4881,HDM,NO,HDZ,YES
75,7-12 months,DWC,Recurrent,1,1.1,466.32,345,0.6794,HDM,NO,HDZ,YES
76,1 - 2 months,DWC,New,3,6.01,254.83,732,0.3786,LDM,NO,LDZ,YES
77,1 - 2 months,DWC,New,2,1.35,149.99,287,0.2733,HDM,NO,LDZ,YES
78,7-12 months,DWC,Recurrent,333,167.94,264.73,65644,0.7529,HDM,NO,HDZ,NO
79,7-12 months,DWC,Reactivated,1,2.9,314.37,236,0.1767,HDM,NO,HDZ,YES
80,1 - 2 months,DWC,New,12,10.37,286.3,3293,0.6705,LDM,NO,LDZ,YES
81,More than 12 months,DWC,Recurrent,255,147.46,273.98,52059,0.7511,HDM,YES,HDZ,NO
82,7-12 months,DWC,Recurrent,304,228.38,355.19,80617,0.67490000000000006,HDM,YES,HDZ,NO
83,3 - 6 months,DWC,Recurrent,85,57.16,187.15,15198,0.6797,HDM,NO,LDZ,NO
84,7-12 months,DWC,Recurrent,120,97.58,335.5,32805,0.801,HDM,YES,HDZ,NO
85,3 - 6 months,DWC,Recurrent,10,5.01,163.1,1581,0.5625,HDM,NO,LDZ,YES
86,7-12 months,DWC,Recurrent,201,148.51,312,46662,0.6839,HDM,YES,HDZ,NO
87,1 - 2 months,DWC,New,4,4.35,133.33,513,0.2483,HDM,NO,HDZ,YES
88,1 - 2 months,DWC,New,4,2.79,77.58,297,0.3921,HDM,NO,HDZ,YES
89,1 - 2 months,DWC,New,3,4.51,227.43,657,0.4881,HDM,NO,LDZ,YES
90,3 - 6 months,DWC,Recurrent,347,224.15,290.65,75226,0.7481,HDM,YES,HDZ,NO
91,More than 12 months,DWC,Recurrent,3,3.59,177.71,510,0.4318,HDM,NO,LDZ,YES
92,3 - 6 months,DWC,Recurrent,23,17.86,186.35,3518,0.5697,LDM,NO,HDZ,NO
93,1 - 2 months,DWC,New,15,18.75,234.14,3366,0.4772,HDM,NO,HDZ,YES
94,More than 12 months,DWC,Recurrent,181,102.01,299.24,40575,0.8016,HDM,YES,HDZ,YES
95,3 - 6 months,DWC,Recurrent,9,7.61,412.74,3270,0.804,HDM,YES,HDZ,YES
96,1 - 2 months,DWOC,Recurrent,56,33.81,221.87,9280,0.8371,HDM,YES,HDZ,YES
97,7-12 months,DWC,Recurrent,209,316.33,637.05,100006,0.4843,HDM,YES,HDZ,NO
98,7-12 months,DWOC,Recurrent,163,99.15,266.02,31592,0.7661,HDM,YES,HDZ,NO
99,1 - 2 months,DWC,Recurrent,30,62.3,172.79,4754,0.1719,HDM,NO,HDZ,NO
100,3 - 6 months,DWC,Recurrent,4,7.77,136.25,522,0.2137,LDM,NO,LDZ,YES
101,More than 12 months,DWC,Recurrent,267,175.14,303.26,60412,0.7203,LDM,YES,HDZ,NO
102,3 - 6 months,DWOC,Recurrent,363,215.22,269.37,72185,0.7807,HDM,YES,HDZ,NO
103,More than 12 months,DWC,Recurrent,5,2.25,98.66,472,0.5288,HDM,NO,LDZ,NO
104,More than 12 months,DWC,Recurrent,232,149.49,262.66,47658,0.6589,HDM,YES,HDZ,NO
105,7-12 months,DWC,Recurrent,249,205.77,200.79,39504,0.5097,HDM,NO,HDZ,NO
106,3 - 6 months,DWC,Recurrent,129,93.49,262.34,24855,0.6915,HDM,NO,HDZ,NO
107,7-12 months,DWC,Recurrent,188,116.42,272.11,38124,0.7824,HDM,YES,HDZ,NO
108,1 - 2 months,DWC,Recurrent,47,49.94,198.88,6803,0.6353,HDM,NO,HDZ,YES
109,3 - 6 months,DWC,Recurrent,1,0.82,345.09,248,0.7238,HDM,NO,HDZ,YES
110,More than 12 months,DWC,Recurrent,209,182.68,403.88,63239,0.6094,HDM,YES,HDZ,NO
111,More than 12 months,DWC,Recurrent,3,2.33,560.36,1313,0.456,LDM,YES,HDZ,YES
112,More than 12 months,DWC,Recurrent,185,95.77,260.4,35127,0.8065,HDM,YES,HDZ,NO
113,1 - 2 months,DWC,New,27,30.87,115.82,2513,0.2195,HDM,NO,HDZ,NO
114,7-12 months,DWC,Recurrent,129,90.75,278.69,27521,0.6817,LDM,YES,HDZ,NO
115,3 - 6 months,DWC,Recurrent,1,0.66,175.02,127,0.6317,HDM,YES,HDZ,YES
116,1 - 2 months,DWOC,Recurrent,436,263.54,264.03,95802,0.7154,HDM,YES,HDZ,NO
117,1 - 2 months,DWC,Recurrent,14,10.01,111.64,1496,0.3837,HDM,NO,HDZ,YES
118,More than 12 months,DWC,Reactivated,4,4.06,308.28,890,0.6064,HDM,YES,HDZ,YES
119,More than 12 months,DWC,Recurrent,9,5.93,235.78,1947,0.686,LDM,YES,HDZ,NO
120,1 - 2 months,DWC,New,2,0.7,139.93,269,0.8251,HDM,NO,LDZ,YES
121,7-12 months,DWC,Recurrent,65,38.77,287.43,14866,0.7555,HDM,NO,HDZ,NO
122,7-12 months,DWC,Recurrent,133,111.36,380.46,37591,0.749,HDM,YES,HDZ,NO
123,7-12 months,DWOC,Recurrent,479,245.93,265.1,93658,0.7581,HDM,NO,HDZ,NO
124,1 - 2 months,DWC,New,27,19.67,144.45,3308,0.4502,LDM,NO,HDZ,YES
125,More than 12 months,DWC,Recurrent,156,91.31,268.33,31088,0.8228,HDM,YES,HDZ,NO
126,3 - 6 months,DWC,Recurrent,100,84.15,287.26,22630,0.5534,HDM,NO,HDZ,NO
127,More than 12 months,DWC,Recurrent,460,334.08,312.35,106655,0.7341,HDM,YES,HDZ,NO
128,1 - 2 months,DWC,Recurrent,1,0.96,162,155,0.7207,HDM,NO,LDZ,YES
129,More than 12 months,DWOC,Recurrent,288,194.86,319.6,69297,0.771,HDM,YES,HDZ,NO
130,3 - 6 months,DWC,Recurrent,10,7.17,156.38,1125,0.4179,LDM,NO,HDZ,NO
131,7-12 months,DWC,Recurrent,154,114.03,216.91,26131,0.599,HDM,NO,HDZ,NO
132,7-12 months,DWC,Reactivated,13,35.43,304.76,3152,0.2094,HDM,NO,HDZ,YES
133,1 - 2 months,DWC,New,14,12.4,243.07,2821,0.6363,HDM,NO,HDZ,YES
134,7-12 months,DWC,Recurrent,488,242.25,268.9,97637,0.7578,HDM,YES,HDZ,NO
135,More than 12 months,DWC,Recurrent,187,99.4,255.24,34778,0.7073,LDM,NO,HDZ,NO
136,7-12 months,DWC,Recurrent,179,166.83,420.53,56786,0.5917,HDM,YES,HDZ,NO
137,3 - 6 months,DWC,Recurrent,12,10.85,154.31,1484,0.4177,HDM,NO,HDZ,YES
138,1 - 2 months,DWC,New,40,28.09,209.12,7641,0.6422,HDM,NO,HDZ,NO
139,1 - 2 months,DWC,New,51,43.67,173.22,8691,0.5997,HDM,NO,LDZ,YES
140,3 - 6 months,DWC,Recurrent,1,0.38,245.96,178,0.8716,LDM,NO,HDZ,YES
141,7-12 months,DWC,Recurrent,101,84.4,368.34,28065,0.6534,HDM,YES,HDZ,YES
142,More than 12 months,DWC,Recurrent,87,57.92,236.31,16369,0.7571,HDM,YES,HDZ,NO
143,1 - 2 months,DWC,New,37,60.55,204.53,5680,0.2434,HDM,NO,HDZ,NO
144,3 - 6 months,DWOC,Recurrent,441,271.55,304.1,99512,0.7442,HDM,YES,HDZ,NO
145,3 - 6 months,DWC,Recurrent,115,66.25,176.9,19508,0.7101,LDM,NO,LDZ,YES
146,3 - 6 months,DWC,Recurrent,38,24.31,172.32,4797,0.6067,HDM,YES,HDZ,YES
147,More than 12 months,DWC,Recurrent,102,64.91,317.64,24134,0.7401,HDM,YES,HDZ,NO
148,7-12 months,DWC,Recurrent,171,123.29,290.89,41438,0.7686,HDM,YES,HDZ,NO
149,3 - 6 months,DWC,Recurrent,165,96.98,239.77,29366,0.8002,HDM,NO,HDZ,NO
150,3 - 6 months,DWC,Recurrent,59,56.96,202.13,11032,0.4635,LDM,NO,HDZ,YES
151,More than 12 months,DWC,Recurrent,200,145.65,300.25,45672,0.7741,HDM,YES,HDZ,NO
152,1 - 2 months,DWC,Recurrent,2,2.91,162.5,311,0.426,LDM,NO,LDZ,YES
153,1 - 2 months,DWC,Recurrent,2,5.81,172.14,271,0.1247,HDM,NO,HDZ,YES
154,1 - 2 months,DWC,Recurrent,1,1.83,249.39,239,0.2486,HDM,NO,LDZ,YES
155,More than 12 months,DWOC,Recurrent,229,196.15,300.31,51212,0.7165,HDM,YES,HDZ,NO
156,More than 12 months,DWC,Recurrent,86,81.95,316.03,20817,0.5494,HDM,NO,HDZ,NO
157,7-12 months,DWC,Recurrent,140,84.08,278.1,28957,0.781,HDM,NO,HDZ,NO
158,1 - 2 months,DWC,New,22,13.8,207.39,3370,0.5927,HDM,NO,HDZ,YES
159,7-12 months,DWC,Recurrent,270,164.93,246.62,52414,0.7026,HDM,NO,HDZ,NO
160,7-12 months,DWC,Recurrent,226,148.45,276.07,46685,0.6869,HDM,NO,HDZ,NO
161,3 - 6 months,DWC,Reactivated,1,0.78,88.54,85,0.2835,HDM,NO,LDZ,YES
162,More than 12 months,DWC,Recurrent,171,97.38,287,35997,0.799,HDM,YES,HDZ,NO
163,3 - 6 months,DWC,Recurrent,101,58.32,243.77,18109,0.7301,HDM,NO,HDZ,NO
164,More than 12 months,DWC,Recurrent,118,80.67,299.85,26740,0.7556,HDM,YES,HDZ,NO
165,3 - 6 months,DWC,Recurrent,84,47.7,281.04,17820,0.8311,HDM,YES,HDZ,YES
166,1 - 2 months,DWC,New,4,10.57,39.94,153,0.0454,HDM,NO,HDZ,YES
167,1 - 2 months,DWC,Recurrent,3,1.75,157.2,369,0.7298,HDM,NO,HDZ,YES
168,1 - 2 months,DWC,New,1,11.15,210.5,201,0.9432,LDM,NO,LDZ,YES
169,3 - 6 months,DWOC,Recurrent,71,56.24,338.99,18625,0.7644,HDM,YES,HDZ,YES
170,3 - 6 months,DWC,Recurrent,89,50.08,240.03,15575,0.7142,HDM,NO,HDZ,NO
171,1 - 2 months,DWC,New,3,0.56,38.33,83,0.4382,HDM,NO,HDZ,YES
172,More than 12 months,DWC,Reactivated,3,2.05,348.4,909,0.8701,LDM,NO,HDZ,YES
173,3 - 6 months,DWC,Recurrent,376,200.45,271.19,75230,0.707,LDM,NO,HDZ,NO
174,1 - 2 months,DWC,Recurrent,4,2.93,238.06,914,0.8053,HDM,NO,HDZ,YES
175,1 - 2 months,DWC,New,6,5.51,193.28,970,0.4375,LDM,NO,HDZ,NO
176,1 - 2 months,DWC,Recurrent,5,4.9,193.53,695,0.5307,HDM,NO,HDZ,YES
177,3 - 6 months,DWC,Reactivated,4,2.34,138.34,397,0.6936,HDM,NO,HDZ,YES
178,3 - 6 months,DWC,Recurrent,45,18.91,209.61,6849,0.8129,HDM,YES,HDZ,NO
179,1 - 2 months,DWC,Recurrent,5,8.03,141.83,512,0.2443,HDM,NO,HDZ,YES
180,1 - 2 months,DWC,Recurrent,1,1.69,281,269,0.4724,LDM,NO,LDZ,YES
181,7-12 months,DWC,Reactivated,11,7.76,236.61,1896,0.8058,HDM,NO,HDZ,YES
182,1 - 2 months,DWC,Recurrent,89,79.83,63.3,5392,0.1807,HDM,NO,LDZ,NO
183,7-12 months,DWC,Recurrent,152,87.84,216.81,25526,0.678,HDM,YES,HDZ,NO
184,3 - 6 months,DWC,Reactivated,16,13.34,227.23,3443,0.4967,LDM,NO,LDZ,YES
185,More than 12 months,DWC,Recurrent,26,24.43,219.54,4292,0.8642,HDM,YES,HDZ,YES
186,More than 12 months,DWC,Recurrent,390,300.39,357.86,106185,0.6996,HDM,YES,HDZ,NO
187,1 - 2 months,DWC,New,17,15.83,287.9,3785,0.6736,HDM,YES,HDZ,NO
188,7-12 months,DWOC,Recurrent,24,15.22,282.09,5023,0.7357,HDM,YES,HDZ,NO
189,7-12 months,DWC,Recurrent,2,1.35,159.25,229,0.4196,HDM,NO,HDZ,NO
190,3 - 6 months,DWC,Recurrent,3,3.59,255.33,635,0.4603,HDM,NO,HDZ,YES
191,1 - 2 months,DWC,Recurrent,1,4.65,167.99,161,0.1608,HDM,NO,LDZ,YES
192,3 - 6 months,DWC,Reactivated,26,25.89,145.45,3485,0.449,HDM,NO,LDZ,NO
193,3 - 6 months,DWC,Recurrent,23,13.73,251.38,4303,0.6661,HDM,NO,HDZ,NO
194,1 - 2 months,DWC,New,28,30,224.2,5027,0.4927,HDM,NO,HDZ,NO
195,3 - 6 months,DWC,Reactivated,15,9.86,263.6,3265,0.7688,HDM,NO,HDZ,YES
196,7-12 months,DWC,Recurrent,10,5.55,201.25,1474,0.6995,HDM,NO,HDZ,YES
197,7-12 months,DWC,Recurrent,37,38.24,241.77,6867,0.4327,HDM,NO,HDZ,NO
198,3 - 6 months,DWC,Recurrent,136,69.78,245.67,24810,0.8049,HDM,NO,HDZ,YES
199,3 - 6 months,DWOC,Recurrent,79,73.76,233.92,15756,0.6186,HDM,YES,HDZ,YES
200,3 - 6 months,DWC,Recurrent,20,12.96,378.21,5637,0.6977,LDM,NO,HDZ,YES
201,7-12 months,DWC,Reactivated,265,186.05,310.72,61498,0.7614,HDM,YES,HDZ,NO
202,1 - 2 months,DWC,New,12,6.96,228.59,2636,0.602,HDM,NO,LDZ,YES
203,1 - 2 months,DWC,New,36,24.29,119.42,3825,0.5615,HDM,NO,HDZ,YES
204,1 - 2 months,DWC,New,15,14.31,165.89,2102,0.424,HDM,NO,HDZ,NO
205,7-12 months,DWC,Recurrent,359,209.01,286.05,76091,0.7909,HDM,YES,HDZ,NO
206,1 - 2 months,DWC,New,4,3.28,109.67,315,0.2787,HDM,NO,HDZ,YES
207,1 - 2 months,DWC,New,33,29.13,142.98,4095,0.3924,HDM,NO,HDZ,YES
208,1 - 2 months,DWC,Recurrent,56,59.01,197.08,9429,0.38,HDM,NO,HDZ,YES
209,3 - 6 months,DWC,Recurrent,1,0.6,123,118,0.6529,HDM,NO,LDZ,YES
210,1 - 2 months,DWC,Recurrent,251,192.43,257.19,51344,0.6004,HDM,NO,HDZ,NO
211,More than 12 months,DWC,Recurrent,49,34.07,294.23,10490,0.6966,HDM,NO,HDZ,NO
212,1 - 2 months,DWC,New,2,1.86,143.38,275,0.6507,HDM,NO,HDZ,YES
213,1 - 2 months,DWC,New,4,10.22,200.86,664,0.1379,LDM,NO,HDZ,YES
214,1 - 2 months,DWC,New,1,3.1,220.64,214,0.1754,HDM,NO,HDZ,YES
215,1 - 2 months,DWC,New,1,1.42,123.5,118,0.1875,HDM,NO,LDZ,YES
216,More than 12 months,DWC,Recurrent,202,158.37,282.07,45871,0.6798,HDM,YES,HDZ,NO
217,1 - 2 months,DWC,New,100,89.59,152.93,14637,0.5202,HDM,NO,LDZ,NO
218,7-12 months,DWC,Recurrent,239,149.76,280.51,49392,0.7868,HDM,YES,HDZ,NO
219,7-12 months,DWOC,Recurrent,276,154.54,251.68,50717,0.7992,HDM,YES,HDZ,NO
220,1 - 2 months,DWOC,New,64,58.89,230.83,12074,0.5438,HDM,YES,HDZ,NO
221,3 - 6 months,DWC,Reactivated,8,6.01,213.25,1260,0.5171,HDM,NO,HDZ,NO
222,7-12 months,DWC,Recurrent,4,1.74,159.63,615,0.8585,HDM,NO,LDZ,YES
223,More than 12 months,DWC,Recurrent,94,55.34,266.16,18292,0.7281,HDM,YES,HDZ,NO
224,3 - 6 months,DWOC,Recurrent,73,48.7,239.26,14352,0.6888,HDM,NO,HDZ,YES
225,1 - 2 months,DWC,New,34,27.82,273.37,7348,0.6687,HDM,NO,HDZ,YES
226,More than 12 months,DWC,Reactivated,1,2.78,757.5,573,0.2141,HDM,NO,HDZ,YES
227,1 - 2 months,DWC,New,3,3.07,105.83,249,0.418,HDM,NO,HDZ,YES
228,1 - 2 months,DWC,Recurrent,20,22.97,184.77,2729,0.3297,HDM,NO,HDZ,YES
229,More than 12 months,DWC,Recurrent,48,38.55,338.79,12472,0.7187,HDM,NO,HDZ,YES
230,1 - 2 months,DWC,Recurrent,5,6.37,149.83,575,0.2255,HDM,NO,HDZ,YES
231,1 - 2 months,DWC,New,4,8.09,129.1,494,0.5139,LDM,NO,LDZ,NO
232,1 - 2 months,DWOC,Recurrent,201,126.79,288.65,44592,0.763,HDM,YES,HDZ,YES
233,1 - 2 months,DWC,Recurrent,16,13.63,192.42,2948,0.4782,LDM,NO,LDZ,YES
234,1 - 2 months,DWC,New,4,4.39,71.92,225,0.2259,HDM,NO,HDZ,YES
235,More than 12 months,DWC,Recurrent,170,117.39,325.99,42439,0.8193,HDM,YES,HDZ,NO
236,7-12 months,DWC,Reactivated,4,14.21,448.47,1317,0.1785,HDM,NO,HDZ,YES
237,3 - 6 months,DWC,Recurrent,226,136.1,227.42,39917,0.7536,HDM,YES,HDZ,NO
238,More than 12 months,DWC,Recurrent,114,75.22,315.32,26630,0.7879,HDM,YES,HDZ,NO
239,1 - 2 months,DWC,New,1,1.69,151,145,0.2141,HDM,NO,LDZ,YES
240,3 - 6 months,DWC,Recurrent,9,3.36,126.89,1095,0.7218,HDM,NO,LDZ,NO
241,3 - 6 months,DWC,Recurrent,50,33.62,163.96,7334,0.4858,HDM,NO,HDZ,YES
242,7-12 months,DWC,Recurrent,186,129.33,304.31,42653,0.704,HDM,YES,HDZ,NO
243,3 - 6 months,DWC,Recurrent,15,10.84,247.21,2862,0.5899,LDM,YES,HDZ,YES
244,7-12 months,DWOC,Recurrent,65,42.73,259.48,12555,0.7874,HDM,YES,HDZ,YES
245,3 - 6 months,DWC,Recurrent,1,3.74,793,601,0.1817,HDM,NO,HDZ,YES
246,1 - 2 months,DWC,New,4,13.53,140.33,688,0.1268,LDM,NO,HDZ,YES
247,More than 12 months,DWC,Recurrent,15,8.34,254.49,2764,0.8001,HDM,YES,HDZ,NO
248,1 - 2 months,DWC,New,9,6.97,187.01,1215,0.4093,HDM,NO,HDZ,YES
249,1 - 2 months,DWC,Recurrent,32,28.57,179.27,5416,0.5099,HDM,NO,HDZ,YES
250,1 - 2 months,DWC,Recurrent,279,154.73,196.12,40027,0.6861,HDM,NO,HDZ,NO
251,3 - 6 months,DWC,Recurrent,3,1.49,212.73,522,0.9332,HDM,NO,HDZ,YES
252,1 - 2 months,DWC,Recurrent,5,6.5,180.51,866,0.3274,LDM,NO,HDZ,YES
253,7-12 months,DWC,Recurrent,66,87.09,219.38,10656,0.3623,HDM,NO,HDZ,YES
254,1 - 2 months,DWC,Recurrent,18,11.4,115.84,1684,0.4791,HDM,NO,HDZ,NO
255,3 - 6 months,DWOC,Recurrent,25,16.29,199.82,3787,0.505,LDM,NO,HDZ,YES
256,1 - 2 months,DWOC,New,168,132.7,250.82,34114,0.6487,HDM,YES,HDZ,NO
257,1 - 2 months,DWC,New,33,30.63,236.74,6128,0.4858,HDM,NO,LDZ,YES
258,3 - 6 months,DWC,Recurrent,103,58.63,280.8,21677,0.6938,HDM,YES,HDZ,NO
259,3 - 6 months,DWC,Recurrent,37,37.69,292.07,9212,0.5804,HDM,NO,HDZ,YES
260,More than 12 months,DWC,Recurrent,64,47.43,161.06,9517,0.4936,HDM,NO,LDZ,NO
261,3 - 6 months,DWC,Recurrent,113,90.1,237.91,22679,0.5502,LDM,NO,HDZ,YES
262,7-12 months,DWC,Recurrent,229,179,329.88,58035,0.6999,HDM,YES,HDZ,NO
263,1 - 2 months,DWC,New,4,2.42,271.41,779,0.5801,HDM,NO,HDZ,YES
264,More than 12 months,DWC,Recurrent,10,15.43,179.69,1290,0.8477,HDM,NO,HDZ,YES
265,7-12 months,DWC,Recurrent,129,181.47,549.11,54262,0.4795,HDM,YES,HDZ,NO
266,3 - 6 months,DWC,Recurrent,203,140.94,228.02,36189,0.6335,HDM,NO,HDZ,NO
267,3 - 6 months,DWC,Recurrent,84,83.78,290.07,18422,0.5399,HDM,YES,HDZ,NO
268,3 - 6 months,DWC,Recurrent,90,61.5,312.86,21406,0.7552,HDM,YES,HDZ,NO
269,1 - 2 months,DWC,New,61,76.13,220.68,11038,0.369,HDM,NO,HDZ,YES
270,1 - 2 months,DWC,New,233,151.57,264.37,46298,0.7796,HDM,YES,HDZ,NO
271,3 - 6 months,DWC,Recurrent,98,101.03,197.94,17710,0.462,HDM,NO,LDZ,NO
272,3 - 6 months,DWOC,Reactivated,41,31.49,229.17,7064,0.6725,HDM,NO,HDZ,YES
