ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
864,1 - 2 months,DWC,Recurrent,11,6.41,271.82,2237,0.6938,HDM,NO,HDZ,YES
865,7-12 months,DWC,Recurrent,62,24.93,166.94,7576,0.6692,HDM,YES,HDZ,YES
866,1 - 2 months,DWOC,New,28,18.76,303.05,6172,0.6518,HDM,YES,HDZ,YES
867,More than 12 months,DWC,Recurrent,66,70.92,654.19,32383,0.5856,LDM,YES,HDZ,NO
868,1 - 2 months,DWOC,Recurrent,169,107.84,257.03,32415,0.711,HDM,YES,HDZ,NO
869,1 - 2 months,DWC,Recurrent,85,73.16,204.94,15339,0.5404,HDM,NO,HDZ,YES
870,3 - 6 months,DWC,Reactivated,58,44.74,260.59,13266,0.6153,HDM,NO,HDZ,NO
871,3 - 6 months,DWC,Recurrent,1,0.65,449.05,324,0.954,HDM,NO,HDZ,YES
872,3 - 6 months,DWC,Recurrent,111,67.99,282.52,23659,0.7991,HDM,NO,HDZ,NO
873,3 - 6 months,DWC,Recurrent,307,206.3,233.45,52155,0.6938,HDM,NO,HDZ,NO
874,3 - 6 months,DWC,Recurrent,3,1.24,87.81,191,0.4765,HDM,YES,HDZ,NO
875,More than 12 months,DWC,Recurrent,32,18.52,261.4,6360,0.7445,HDM,YES,HDZ,NO
876,3 - 6 months,DWOC,Recurrent,60,36.71,267.89,12675,0.7749,HDM,NO,HDZ,YES
877,1 - 2 months,DWC,Recurrent,127,79.59,276.28,25909,0.7091,LDM,YES,HDZ,NO
878,1 - 2 months,DWC,New,4,4.03,423.65,1357,0.7726,HDM,NO,HDZ,YES
879,7-12 months,DWC,Recurrent,55,46.69,220.25,10228,0.4633,HDM,NO,HDZ,NO
880,1 - 2 months,DWC,Recurrent,3,2.04,128.83,370,0.4313,LDM,NO,LDZ,NO
881,More than 12 months,DWC,Reactivated,2,1.44,52,175,0.6532,LDM,NO,LDZ,NO
882,1 - 2 months,DWC,New,4,4.49,260.2,912,0.3834,HDM,NO,LDZ,YES
883,1 - 2 months,DWC,Recurrent,13,9.97,187.93,2105,0.5426,HDM,NO,LDZ,YES
884,1 - 2 months,DWC,Recurrent,21,16.19,184.51,3455,0.5188,LDM,NO,HDZ,YES
885,7-12 months,DWOC,Recurrent,334,235.12,330.17,82583,0.7449,HDM,YES,HDZ,NO
886,More than 12 months,DWC,Recurrent,140,200.82,578.28,61465,0.5615,HDM,YES,HDZ,NO
887,1 - 2 months,DWC,New,8,12.56,173.6,1156,0.2243,HDM,NO,HDZ,YES
888,1 - 2 months,DWC,New,40,31.51,194.96,7476,0.4959,HDM,NO,HDZ,NO
889,3 - 6 months,DWC,Recurrent,21,19.86,258.49,4030,0.4313,LDM,NO,HDZ,YES
890,7-12 months,DWC,Recurrent,55,40.23,272.14,11212,0.6656,HDM,YES,HDZ,YES
891,1 - 2 months,DWC,New,1,6.31,267.85,256,0.0977,HDM,NO,LDZ,YES
892,7-12 months,DWC,Recurrent,145,210.9,691.87,75769,0.4924,HDM,YES,HDZ,YES
893,1 - 2 months,DWC,New,11,9.9,127.48,1342,0.4115,HDM,NO,HDZ,YES
894,3 - 6 months,DWC,Recurrent,161,148.25,244.25,35737,0.6468,HDM,NO,HDZ,NO
895,3 - 6 months,DWC,Recurrent,250,119.08,232.49,41951,0.7058,HDM,NO,HDZ,NO
896,3 - 6 months,DWOC,Recurrent,38,20.82,272.03,7797,0.7775,HDM,YES,HDZ,NO
897,7-12 months,DWC,Recurrent,189,119.92,264.95,37218,0.7823,HDM,YES,HDZ,NO
898,More than 12 months,DWC,Recurrent,10,7.13,308.27,2244,0.7025,HDM,YES,HDZ,YES
899,3 - 6 months,DWC,Reactivated,6,2.95,109.72,474,0.5795,HDM,NO,HDZ,NO
900,More than 12 months,DWC,Recurrent,70,63.2,374.71,21371,0.7403,HDM,YES,HDZ,NO
